paper_id	0	1	2	3	4	5	6	7	8
5T80c_5NSbV	5.0	6.0	6.0						
dXmWWc7GHVU	1.0	5.0	5.0	8.0					
KNSRDB-clPX	3.0	3.0	3.0	3.0					
FLr9RRqbwB-	3.0	5.0	5.0	5.0					
dC31wEs-hsV	1.0	3.0	5.0	3.0					
tcHwiu6CJ_B	5.0	5.0	5.0	5.0					
oiwXWPDTyNk	8.0	8.0	8.0	6.0					
_q7A0m3vXH0	5.0	5.0	6.0						
FmpRQpQLs5J	3.0	6.0	1.0	5.0					
P63GxgD7LIl	5.0	6.0	6.0	3.0					
OhjGzRE5N6o	8.0	3.0	3.0	3.0					
9Y0P3YoERSy	3.0	1.0	1.0						
HlRfoQDDj-V	5.0	3.0	5.0	3.0					
VBTJqqWjxMv	8.0	5.0	8.0						
yBOlJNIX0jN	1.0	3.0	3.0	3.0					
iEE0MadUaZh	1.0	3.0	6.0	5.0					
dqZ_GFn7Nuh	6.0	5.0	1.0						
krcFYSfcbhx	3.0	5.0	5.0	6.0					
vNrmEgfGIg3									
n1bLgxHW6jW	6.0	8.0	5.0						
6apN9AQ-3fN	5.0	3.0	3.0	3.0					
9pA3oXBwYh7	3.0	6.0	3.0	1.0					
5iibKv7Wk8W	3.0	5.0	1.0	3.0					
6s5HaPx6ndR	5.0	6.0	5.0	3.0	6.0				
T6NIgvKRb7b	6.0	6.0	5.0	3.0					
6BHlZgyPOZY	6.0	8.0	6.0	3.0					
FhYkgzYNMQ7	3.0	5.0	3.0	5.0					
mNk7mgWZcJa	3.0	3.0	3.0						
_JScUk9TBUn	6.0	6.0	6.0	5.0	8.0				
uV1A7jemwS8	3.0	3.0	3.0						
-SBZ8c356Oc	6.0	8.0	5.0	3.0					
Opcegzztjay	3.0	8.0	6.0						
_i0-12XqVJZ	5.0	5.0	5.0						
PfPrnKDtvIG	5.0	6.0	3.0	5.0					
YPKBIILy-Kt	6.0	3.0	6.0						
Gkbxt7ThQxU	3.0	6.0	3.0						
9gRIOMVLCiH	5.0	6.0	8.0	3.0					
WHlt5tLz12T	8.0	5.0	8.0						
JmC_Tld3v-f	6.0	5.0	5.0	6.0					
CBfYffLqWqb	5.0	5.0	6.0						
JpbLyEI5EwW	8.0	3.0	6.0	10.0					
MIy9IfYlecR	3.0	3.0	3.0	3.0					
FkRMv-mlSTy	5.0	5.0	6.0	3.0					
FHZUqgxIBYn	3.0	3.0	3.0	5.0					
odI2OpMFq-D	3.0	3.0	3.0	3.0					
rmoMvptXK7M	8.0	5.0	5.0	5.0					
pRCMXcfdihq	6.0	3.0	6.0	6.0					
bnkvnbGEXnc	5.0	5.0	3.0	5.0					
qSCHRL8b96S	3.0	5.0	5.0						
5YHaMHg2Bfa	8.0	5.0	3.0	6.0	6.0	6.0	5.0		
TZixgYj-oqI	6.0	5.0	3.0	6.0					
z0_V5O9cmNw	6.0	5.0	6.0	8.0					
-4DiyBMgv9m	3.0	3.0	6.0	6.0	1.0				
cB4N3G5udUS	5.0	10.0	3.0						
NI7StoWHJPT	5.0	3.0	5.0						
2jcvy1htS_r	3.0	5.0	6.0	6.0					
p48GR3rwtxf	3.0	3.0	3.0	3.0					
-94tJCOo7OM	3.0	1.0	3.0						
l2vPa8gwBuA	5.0	6.0	6.0	6.0					
GGItImF9oG5	5.0	6.0	3.0	5.0					
O5rKg7IRQIO	8.0	5.0	3.0	8.0					
UxqUgchwXkK	8.0	8.0	8.0						
jZfksUBb3Zz	5.0	1.0	3.0	3.0					
w48XN5HwpV8	5.0	6.0	3.0	6.0					
UHPva3PuKLN	5.0	5.0	1.0	3.0					
yKbprarjc5B	5.0	5.0	5.0	8.0					
No6QvMxdQMo	3.0	5.0	5.0						
-zw8zmeIt7M	3.0	5.0	8.0	5.0					
M2unceRvqhh	6.0	6.0	8.0	8.0					
7oFuxtJtUMH	8.0	8.0	5.0	6.0					
mcJvCys7DX7	5.0	5.0	5.0	5.0					
h9O0wsmL-cT	6.0	8.0	6.0	1.0					
fGG6vHp3W9W	8.0	5.0	5.0						
BLsM6WymMo6	3.0	3.0	3.0	5.0					
paGvsrl4Ntr	6.0	5.0	6.0	6.0					
Rn8u4MYgeNJ	8.0	5.0	5.0	5.0					
3i_7H3phuy3	5.0	3.0	6.0	3.0	3.0				
4bCsX2K0KuR	6.0	3.0	6.0						
wZiE_S2362V	8.0	3.0	3.0	5.0					
lmumJ2pC0JB	5.0	8.0	5.0	5.0					
tyZ1ChGZIKO	5.0	5.0	8.0	8.0					
3TduOwfFNoy	5.0	6.0	5.0	3.0					
bxtzk6Wfrpo	1.0	5.0	3.0	5.0					
067CGykiZTS	8.0	8.0	8.0						
afrUI9hkUJM	3.0	3.0	3.0						
Tl8OmiibP99	5.0	6.0	5.0	6.0					
HtAfbHa7LAL	5.0	5.0	5.0						
MT1Pcdo8sGG	3.0	10.0	8.0						
u6KhE9fapjX	5.0	3.0	3.0	5.0					
KyoVpYvWWnK	6.0	5.0	8.0	6.0					
d8mr8lKIZ3n	5.0	8.0	3.0	8.0					
Vf2DK1Ol0ed	3.0	3.0	3.0	5.0					
6ruVLB727MC	6.0	8.0	3.0	8.0					
GKsNIC_mQRG	3.0	1.0	3.0	1.0					
SVl1w1u3InX	6.0	6.0	5.0						
zfiYcbeQkH	3.0	8.0	6.0						
raSbs1AFoX3	5.0	5.0	6.0	1.0					
xKYlWJaLFi	6.0	3.0	5.0						
vJVIUTwohv	5.0	5.0	5.0	5.0					
2QzNuaRHn4Z	5.0	8.0	6.0	6.0					
IC8LwiOLKFr	6.0	3.0	5.0						
8Tr3v4ueNd7	6.0	3.0	3.0	5.0					
swEskiem99	6.0	8.0	5.0	5.0					
JZMR727O29	8.0	5.0	5.0	3.0					
kIo_C6QmMOM	6.0	6.0	6.0						
JKFSUPa70W6M	3.0	5.0	3.0	3.0					
4oLK1_k71Tz	5.0	3.0	8.0						
whsWWPAUkwR	6.0	5.0	6.0	5.0					
aNiem36virV	5.0	5.0	5.0	5.0					
b39dQt_uffW	5.0	6.0	6.0	6.0					
ja4Lpp5mqc2	3.0	6.0	5.0	6.0					
ytNEuwH1yeL	5.0	5.0	3.0						
dKkMnCWfVmm	8.0	5.0	8.0	5.0					
zqkfJA6R1-r	6.0	6.0	10.0						
0aAd19ZQp11	6.0	3.0	5.0						
9_cba-ImPGb	3.0	6.0	5.0	6.0					
IIyox3dwad0	5.0	6.0	6.0	3.0					
P9yXPbfqbvC	3.0	3.0	3.0	3.0					
osIppnySBTV	3.0	5.0	3.0	5.0					
6H_uOfcwiVh	6.0	8.0	8.0	5.0					
wKPmPBHSnT6	3.0	8.0	5.0	6.0					
JknGeelZJpHP	5.0	5.0	8.0	5.0					
Ji1_32XWMxK	6.0	3.0	3.0	6.0					
Xo2E217_M4n	8.0	6.0	8.0	3.0					
j8Ygylt1DYJ	1.0	5.0	3.0	3.0	3.0				
ByaNEZdnx2O	5.0	3.0	3.0	3.0					
5c_nxk-dX1J	5.0	5.0	6.0	5.0					
kXwdL1cWOAi	6.0	5.0	3.0	6.0					
Krk0Gnft2Zc	5.0	3.0	8.0	3.0					
wR08RrAsLz5	5.0	5.0	5.0	8.0					
V8isglQkt74	5.0	6.0	5.0	5.0					
rqq6Dh8t4d	5.0	6.0	3.0	6.0					
J923QzIz8Sh	5.0	5.0	3.0						
OPGy07PojsZ	3.0	6.0	6.0	8.0					
NAuVe6pQ7Jb	3.0	6.0	3.0						
zaq4LV55xHl	5.0	6.0	6.0	3.0					
LoOd40EaGA8	3.0	5.0	6.0	3.0					
uR6x8Be7o_M	3.0	6.0	3.0	3.0					
6lUEy1J5R7p	6.0	8.0	3.0	6.0					
CTX5JcDaUX9	3.0	8.0	5.0						
3ULaIHxn9u7	8.0	3.0	6.0						
uzwakrSKHyT	3.0	5.0	3.0	5.0					
AuEgNlEAmed	5.0	5.0	6.0	6.0					
pBBsrPzq7aF	6.0	8.0	8.0						
rnFOPhTMB0Y	6.0	3.0	5.0	3.0					
C2ulri4duIs	6.0	3.0	6.0	8.0					
kpXJYIoMlho	5.0	5.0	3.0	5.0					
DaYt6DAA-JK	5.0	6.0	5.0	3.0					
7zv_wSgP-LN	3.0	6.0	5.0	5.0					
wkg_b4-IwTZ	5.0	5.0	10.0	8.0					
esFxSb_0pSL	5.0	5.0	5.0	8.0					
WzGdBqcBicl	6.0	6.0	8.0	5.0	8.0	5.0	6.0		
qVI1MqX52Xm	5.0	5.0	5.0						
TGJSPbRpJX-	6.0	8.0	6.0	8.0					
CUOhDJGy3Mn	3.0	5.0	3.0	3.0	3.0				
_QkHfB07QMN	3.0	8.0	6.0	5.0					
6t0Kwf8-jrj	5.0	6.0	5.0						
ZPHE4fht19t	6.0	8.0	6.0	5.0					
PUIqjT4rzq7	3.0	6.0	6.0	5.0					
_lPNXhQ4uvS	3.0	3.0	3.0	3.0	3.0				
TVMjn0RpLHf	6.0	6.0	3.0	3.0					
YlmzborbHTy	5.0	5.0	6.0						
wNnaozRwl5O	5.0	3.0	5.0	3.0	3.0				
ipflrGaf7ry	5.0	6.0	6.0	6.0					
q9Tv6sR3jp2	3.0	3.0	5.0	3.0					
NBES8BZ5wnZ	6.0	6.0	3.0	6.0					
NE2911Kq1sp	6.0	6.0	8.0	5.0					
UYsYdOn-A7e	3.0	3.0	1.0	5.0					
WFewvIEb0aT	6.0	5.0	8.0	5.0	5.0				
cBNfRYPtvFY	5.0	6.0	3.0	6.0					
vxln_lFKkfc	3.0	5.0	6.0						
CwFcw5DBVOR	3.0	5.0	3.0						
_xlsjehDvlY	6.0	6.0	5.0	6.0					
qHcR93949op									
q_PkAzGFrmq	3.0	6.0	5.0	5.0					
rde9B5ue32F	8.0	3.0	6.0	6.0					
hcLpFslHraT	6.0	5.0	6.0	5.0					
NZZoABNZECq	6.0	6.0	6.0	6.0					
WVYJ0BaytpF	3.0	3.0	6.0	1.0					
uARGOm09Vnr	3.0	3.0	5.0						
eiuj6cNv4iI	6.0	8.0	6.0	3.0					
ZVnH2suWKRu									
B2ww5cqWq14	5.0	3.0	1.0						
ukWZS73ccwk	5.0	3.0	5.0						
0pdSt3oyJa1	5.0	5.0	6.0	5.0					
MuoduaZpQxE	5.0	6.0	5.0	5.0					
5H9_FUPA9r8	6.0	5.0	5.0	5.0					
22Hsbl8twlY	3.0	6.0	3.0	6.0					
hdkdCk6xm48	5.0	3.0	6.0	6.0					
qFVVBzXxR2V	6.0	5.0	5.0	5.0	8.0				
uOAerdjbEZy	5.0	5.0	5.0	3.0					
T-DKAYt6BMk									
CAsH4Z_Xzj7	5.0	8.0	3.0						
5C5ZcWvtI7S	5.0	3.0	6.0	3.0					
q_tgo-hvgPd	5.0	5.0	3.0						
HumfPzF2yeI	5.0	5.0	5.0						
ZADNbI_3sbS	6.0	6.0	5.0	6.0					
OxBl7cSgo6_	6.0	6.0	3.0	8.0					
vbRRydfyFc	8.0	5.0	6.0	5.0					
5lgD4vU-l24s	10.0	5.0	3.0	6.0					
JjCAdMUlu9v	3.0	5.0	6.0	6.0					
wIzVS-RJjCB	6.0	3.0	3.0	3.0					
8RExG-EKC22	6.0	3.0	3.0	6.0	6.0				
WGApODQvwRg	3.0	6.0	6.0	5.0					
ynD_LAMwar2	6.0	3.0	3.0	6.0					
doShL95X0hd	5.0	1.0	5.0	3.0	3.0				
mWRngkvIki3	8.0	6.0	5.0						
ctmLBs8lITa	8.0	5.0	5.0	6.0					
xIWfWvKM7aQ	5.0	8.0	5.0	5.0					
14-kr46GvP-	8.0	6.0	6.0						
eZr_xEPesc7	5.0	5.0	5.0	5.0					
nGyWzq-703u	3.0	5.0	5.0	3.0					
bhUPJnS2g0X	6.0	6.0	6.0	6.0					
PoU_NgCStE5	3.0	8.0	5.0	3.0					
vaxnu-Utr4l	8.0	8.0	6.0	8.0					
6jfbOWzWTcE	6.0	8.0	6.0	6.0					
PbXfwJEyKXT	5.0	5.0	5.0	5.0					
oGDKSt9JrZi	8.0	5.0	8.0	5.0					
RHWAEeEYmwW	6.0	6.0	5.0	5.0					
gTph9AD_gx1	5.0	3.0	6.0						
GKpwIa9wgwR	5.0	6.0	5.0						
dkLQ9dl4vcY	3.0	5.0	1.0	3.0					
I29Kt0RwChs	8.0	5.0	6.0	8.0					
7jk5gWjC18M	8.0	8.0	3.0	8.0					
cs3n00FQ7OI	3.0	3.0	6.0	3.0					
d1oQqDvB7GQ	6.0	5.0	5.0						
YKoRmMhcpWk	3.0	5.0	6.0	5.0					
2rzFscFzJ0B	3.0	3.0	3.0	5.0					
eLxADkHrBcR	5.0	1.0	5.0	8.0					
Kot3IIgXGbb	5.0	6.0	6.0						
4gc3MGZra1d	5.0	1.0	8.0	6.0					
Lb8ZnWW_In6	3.0	3.0	3.0						
rieUBLynDqm	5.0	5.0	6.0	6.0					
cP2QVK-uygd	5.0	6.0	8.0						
fWWFv--P0xP	8.0	5.0	8.0	5.0					
VZ5EaTI6dqa	5.0	6.0	5.0	6.0					
TjxCJ1DK-dm	5.0	5.0	3.0	3.0					
yVqC6gCNf4d	5.0	8.0	6.0	8.0					
afhc1a2x00V	3.0	1.0	3.0	6.0					
XFWLkEcLqDf	3.0	3.0	5.0	3.0					
29V3AWjVAFi	5.0	8.0	6.0	5.0					
nN_nBVKAhhD	6.0	5.0	6.0	6.0					
JmkjrlVE-DG	6.0	8.0	5.0	5.0					
0eTTKOOOQkV	6.0	6.0	5.0	6.0					
p6jsTidUkPx	6.0	6.0	5.0	6.0					
qYO0f9WnUup	6.0	1.0	8.0						
3yEIFSMwKBC	5.0	3.0	5.0						
MHgYMtHpKsC	5.0	5.0	6.0						
Hcq7zGgcsOg	3.0	5.0	5.0	5.0	6.0				
sqPEs1wEizU	5.0	3.0	5.0	3.0					
SZYXyhE2c6f	6.0	5.0	3.0	3.0					
XYUaprBSDjp	3.0	5.0	5.0	3.0	3.0				
CQsmMYmlP5T	8.0	8.0	10.0						
YlGsTZODyjz	6.0	8.0	6.0						
LQIjzPdDt3q	8.0	5.0	8.0						
36g8Ept_CCj	6.0	5.0	5.0						
GVWySHBD3Cl	5.0	3.0	3.0						
B4maZQLLW0_	6.0	3.0	5.0	6.0					
GVMwL15UrZO	5.0	3.0	5.0	5.0					
NxPQ3QOGTWl	5.0	5.0	6.0	5.0	6.0				
AqiB_Tqqc8z	5.0	5.0	3.0						
NDWl9qcUpvy	5.0	5.0	8.0	8.0					
GBU1mm8_WkV	3.0	6.0	3.0	6.0					
WBXbRs63oVu	5.0	6.0	3.0	6.0					
ZBMpG7fWwOP	8.0	6.0	3.0	5.0					
BKuboEUJd8u	6.0	5.0	6.0	6.0					
-3br92QL76O	3.0	3.0	6.0						
6doXHqwMayf	8.0	8.0	5.0	3.0	8.0				
4hhtHQLGDQO	3.0	6.0	5.0	3.0					
aKcS3xojnwY	8.0	6.0	8.0	8.0					
BgoOPulkznY	6.0	6.0	3.0	5.0					
Gy8vD-zGQqH	6.0	5.0	3.0	1.0					
8tYRqb05pVn	6.0	3.0	8.0	8.0					
z70d8UBFDKF	6.0	5.0	3.0	5.0	5.0				
sAOOeI878Ns	8.0	6.0	3.0	6.0					
tuE-MnjN7DV	5.0	5.0	3.0	6.0					
i9UlAr1T_xl	8.0	5.0	5.0	5.0	8.0				
r0LQFDOwfbU	5.0	5.0	5.0	5.0					
NUU2tFxUjRa	5.0	3.0	5.0	3.0					
sdlplaOsLdw	3.0	1.0	3.0						
5vM51iamNeL	6.0	3.0	6.0	5.0					
gcD2UtCGMc2	6.0	3.0	8.0	5.0					
wwHOYTpfRqH	3.0	3.0	6.0	6.0					
ZDpSoddiLRR	3.0	3.0	3.0	5.0					
lhPLT5gnBrH	6.0	5.0	3.0	3.0					
SNONkz5zEUF	3.0	6.0	5.0						
Bvnjqe3ZroD	8.0	5.0	3.0	8.0					
nJ3Vx78Nf7p	8.0	3.0	8.0	5.0					
8mQSpCL36Lg	3.0	6.0	1.0	5.0	5.0	5.0			
Rg1LG7wtd2D	5.0	5.0	6.0						
gKKUZ4fTEqh	3.0	6.0	5.0	3.0					
QK1R-vPGsop	3.0	6.0	3.0	5.0					
cOOQruYU7Bh	5.0	5.0	3.0						
5H1MT1RuWP4	3.0	3.0	6.0	3.0					
SnBDX5k-KuJ	6.0	3.0	8.0	5.0					
YvrAyFZq0ID	5.0	8.0	3.0	5.0					
u-RuvyDYqCM	8.0	6.0	8.0						
VoplHXsPKLE	5.0	6.0	5.0						
V7CYzdruWdm	5.0	5.0	6.0						
R0Xxvr_X3ZA	3.0	5.0	5.0	5.0	8.0				
Z63RvyAZ2Vh	5.0	6.0	6.0						
wtQxtWC9bra	3.0	6.0	3.0	3.0					
SJjvXfape5U	3.0	5.0	8.0	3.0					
Y2E5-_HL0DV									
XYTwCOoKkLY	5.0	3.0	3.0	3.0					
FZdJQgy05rz	6.0	8.0	5.0	6.0					
ZMO7nETTWg9	8.0	5.0	5.0	3.0	3.0				
s0ceCGfcIKb	6.0	8.0	3.0	5.0					
vl9TIwbQ_jg	5.0	3.0	8.0						
bRwBpKrNzF7	8.0	6.0	5.0	3.0					
rB3zRN0lBYr	8.0	8.0	6.0	3.0					
2G-vUJ7XcSB	5.0	5.0	5.0						
HN0ehX-ov5Q	3.0	5.0	5.0	5.0					
4K2SRejNGEI	5.0	3.0	3.0						
YfUICnZMwk7	5.0	5.0	8.0	8.0					
NUl0ylt7SM	6.0	5.0	5.0	6.0					
Yp_dRGS-TlC	5.0	6.0	5.0	3.0					
1yclzf1DWsf	5.0	6.0	6.0	6.0					
c9QTkDGJ_cB	5.0	3.0	3.0						
JQc2VowqCzz	6.0	5.0	6.0	6.0					
VPCi3STZcaO	5.0	3.0	6.0	6.0	6.0				
-ng-FXFlzgK	8.0	6.0	3.0	8.0					
38m4h8HcNRL	5.0	6.0	5.0	8.0	5.0				
6axIMJA7ME3	6.0	5.0	8.0	6.0					
QcA9iGaLpH4	6.0	5.0	5.0						
D1Sawu2y1QG	1.0	8.0	8.0	6.0	3.0				
us3brYx_ZBZ	5.0	5.0	6.0	3.0					
RlxNpChToM_	6.0	3.0	6.0						
gU5sJ6ZggcX	8.0	3.0	5.0						
OE4uriQtuDJ	5.0	6.0	5.0	5.0					
fCO0_zsXk3j	3.0	3.0	3.0	3.0					
nQtcJ24_45K	3.0	5.0	5.0						
E2KNgQVJMiP	5.0	5.0	5.0	5.0					
HZf7UbpWHuA	8.0	8.0	6.0	6.0					
Io0mSpdqnHJ	5.0	5.0	8.0						
cWmtUcsYC3V	6.0	6.0	8.0						
8IMz713Bxcq	3.0	3.0	6.0	6.0					
Kpdewuy7RU6	8.0	6.0	8.0	5.0					
ObWiIiKihBf	3.0	8.0	3.0	3.0					
RPVgoRFYWHB	3.0	8.0	5.0	3.0					
R2M14I9LEwW	5.0	6.0	6.0	8.0	5.0				
-ENYHCE8zBp	6.0	5.0	8.0	6.0					
YrxOdjYd1j8	5.0	6.0	1.0	5.0					
cC0VNCNCqpK	5.0	6.0	6.0	3.0					
TdTGGj7fYYJ	8.0	3.0	8.0	6.0					
01LMSeReNvY	5.0	6.0	6.0	6.0					
r0BrY4BiEXO	8.0	8.0	8.0	1.0	8.0				
zgVDqw9ZUES	8.0	5.0	8.0	5.0					
MMKqOJgRiw4	5.0	5.0	6.0	3.0					
CZmHHj9MgkP	8.0	5.0	8.0	6.0					
43nOUI4VHUw	5.0	3.0	6.0	6.0					
NFzHAognkpQ	5.0	5.0	3.0	5.0					
pX21pH4CsNB	3.0	5.0	8.0						
czL6NLxJsx	5.0	3.0	5.0						
sckjveqlCZ	5.0	8.0	5.0						
VILHmvACcR	3.0	5.0	3.0	3.0					
5BaqCFVh5qL	5.0	5.0	6.0	6.0					
p5cvsNww5dB	8.0	5.0	5.0						
w2mDq-p9EEf	3.0	8.0	3.0	3.0	8.0				
lVdvYoIxsXm	3.0	6.0	5.0	5.0					
wNUgn1n6esQ	5.0	5.0	3.0	8.0					
